"","id","vintage_year","monthly_installment","loan_balance","bureau_score","num_bankrupt_iva","time_since_bankrupt","num_ccj","time_since_ccj","ccj_amount","num_bankrupt","num_iva","min_months_since_bankrupt","pl_flag","region","ltv","arrears_months","origination_date","maturity_date","repayment_type","arrears_status","arrears_segment","mob","remaining_mat","loan_term","live_status","repaid_status","month","arrears_event","bankrupt_event","term_expiry_event","worst_arrears_status","max_arrears_12m","recent_arrears_date","months_since_2mia","avg_mia_6m","max_arrears_bal_6m","max_mia_6m","avg_bal_6m","avg_bureau_score_6m","cc_util","annual_income","emp_length","months_since_recent_cc_delinq","default_event","default_flag"
"1",6670001,2005,746.7,131304.44,"541","0","0","0","0","0","0","0","0",1,"r_a",0.7586,0,2005-09-14,2040-09-30,"Non-IO",1,1,120,300,35,1,0,9,0,0,0,1,0,"NA","NA",0,-42,0,132080,"542",0.4578,76749,3,11,0,1
"2",9131199,2006,887.4,115486.51,"441","0","0","0","0","0","0","0","0",1,"r_b",0.6973,0,2006-01-20,2031-01-31,"Non-IO",1,1,116,184,25,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,116972,"494",0.6299,78451,10,7,0,1
"3",3918582,2005,458.23,35482.96,"461","0","0","0","0","0","0","0","0",0,"r_d",0.1099,0,2005-06-21,2023-06-30,"Non-IO",1,1,123,93,18,1,0,9,0,0,0,1,0,"NA","NA",0,-114,0,36610,"460",0.499,56663,8,6,0,1
"4",2347301,2005,1665.05,440127.97,"487","0","0","0","0","0","0","0","0",0,"r_f",0.5215,0,2005-09-27,2030-09-30,"IO",1,1,120,180,25,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,440064,"400",0.569,92025,5,5,0,1
"5",7843579,2004,615.51,77337.43,"307","0","0","0","0","0","0","0","0",0,"r_h",0.4302,0,2004-12-16,2029-12-31,"Non-IO",1,1,129,171,25,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,78460,"318",0.3598,36206,1,14,0,1
"6",4066165,2005,471.44,125415.07,"367","0","0","0","0","0","0","0","0",0,"r_c",0.8256,0.6079,2005-10-06,2030-10-31,"IO",2,1,119,181,25,1,0,9,0,0,0,2,1.8077,"NA","NA",2,800,2,125606,"376",0.5415,58971,8,9,0,1
"7",8028525,2005,363,56273.26,"428","0","0","0","0","0","0","0","0",1,"r_a",0.6885,0,2005-12-14,2035-12-31,"Non-IO",1,1,117,243,30,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,56754,"432",0.5452,83073,10,3,0,1
"8",5253590,2003,321.16,80971.8,"472","0","0","0","0","0","0","0","0",1,"r_d",0.7259,0,2003-10-29,2027-10-31,"IO",1,1,143,145,24,1,0,9,0,0,0,1,0,"NA","NA",0,-104,0,80968,"490",0.5933,60361,9,7,0,1
"9",3510252,2007,437.9,59906.35,"427","0","0","0","0","0","0","0","0",1,"r_i",0.709,0,2007-03-06,2032-03-31,"Non-IO",1,1,102,198,25,1,0,9,0,0,0,1,0,"NA","NA",0,-368,0,60642,"374",0.5753,70523,8,9,0,1
"10",7042373,2006,189.7,191292.23,"430","0","0","0","0","0","0","0","0",0,"r_d",0.8023,0,2006-01-16,2031-01-31,"IO",1,1,116,184,25,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,191290,"380",0.7572,49050,4,3,0,1
"11",6838892,2006,372.32,98419.41,"426","0","0","0","0","0","0","0","0",0,"r_e",0.2471,0,2006-04-24,2030-04-30,"IO",1,1,113,175,24,1,0,9,0,0,0,1,0,"NA","NA",0,-1980,0,98416,"436",0.568,70219,6,3,0,1
"12",1567700,2006,1002.99,113546.28,"180","0","0","0","0","0","0","0","0",1,"r_e",0.3749,0,2006-04-24,2028-04-30,"Non-IO",1,1,113,151,22,1,0,9,0,0,0,1,0,"NA","NA",0,-520,0,115462,"202",0.5097,60807,7,10,0,1
"13",4149143,2005,527.46,139325.95,"365","1","56","1","56","0","0","1","0",0,"r_d",0.6523,0,2005-04-25,2030-04-30,"IO",1,1,125,175,25,1,0,9,0,0,0,1,0,"NA","NA",0,-3864,0,139328,"366",0.5139,85899,7,3,0,1
"14",1848036,2006,505.7,127972.39,"502","0","0","0","0","0","0","0","0",1,"r_d",0.6869,0,2006-05-25,2031-05-31,"IO",1,1,112,188,25,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,127966,"502",0.1997,67675,8,14,0,1
"15",3966099,2006,1286.8,340015.6,"378","0","0","0","0","0","0","0","0",0,"r_l",0.7559,0,2006-12-20,2036-12-31,"IO",1,1,105,255,30,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,340018,"378",0.6066,54259,4,5,0,1
"16",8534650,2007,574.11,94911.49,"444","0","0","0","0","0","0","0","0",0,"r_d",0.2331,0,2007-05-24,2037-05-31,"Non-IO",1,1,100,260,30,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,95426,"460",0.4704,83250,10,6,0,1
"17",8452715,2006,762.84,104257.5,"417","0","0","0","0","0","0","0","0",0,"r_d",0.512,0,2006-11-09,2031-11-30,"Non-IO",1,1,106,194,25,1,0,9,0,0,0,1,0,"NA","NA",0,-250,0,105668,"452",1.0227,80344,6,7,0,1
"18",3337583,2006,591.27,164732.04,"494","0","0","0","0","0","0","0","0",0,"r_b",0.5028,0,2006-11-21,2016-11-30,"IO",1,1,106,14,10,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,162566,"570",0.5456,59077,6,4,0,1
"19",1909666,2004,402.66,57664.72,"363","0","0","0","0","0","0","0","0",1,"r_c",0.6812,0,2004-04-05,2034-04-30,"Non-IO",1,1,137,223,30,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,58286,"356",0.4079,84614,9,4,0,1
"20",8438164,2005,152.21,16658.53,"539","0","0","0","0","0","0","0","0",0,"r_i",0.1736,0,2005-08-31,2027-08-31,"Non-IO",1,1,121,143,22,1,0,9,0,0,0,1,0,"NA","NA",0,-2608,0,16968,"538",0.4908,56534,6,6,0,1
"21",9023854,2007,410.6,88083.64,"227","0","0","0","0","0","0","0","0",0,"r_d",0.2409,0,2007-04-04,2027-04-30,"IO",1,1,101,139,20,1,0,9,0,0,0,1,0,"NA","NA",0,-328,0,88084,"218",0.2915,38100,2,9,0,1
"22",5252710,2006,218.2,125401.41,"406","0","0","0","0","0","0","0","0",0,"r_h",0.9391,0,2006-02-23,2035-02-28,"Non-IO",1,1,115,233,29,1,0,9,1,0,0,1,0,"NA","NA",0,-218,0,125526,"264",0.5557,38734,3,12,1,0
"23",2425429,2005,226,29211.8,"469","0","0","0","0","0","0","0","0",0,"r_g",0.4817,0,2005-10-27,2030-10-31,"Non-IO",1,1,119,181,25,1,0,9,0,0,0,1,0,"NA","NA",0,-30,0,29594,"456",0.544,83592,9,5,0,1
"24",7134595,2007,721.74,99138.37,"119","0","0","0","0","0","0","0","0",1,"r_e",0.1854,0,2007-05-22,2032-05-31,"Non-IO",1,1,100,200,25,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,100264,"176",0.8329,73870,9,7,0,1
"25",6063761,2005,641.37,81090.98,"518","0","0","0","0","0","0","0","0",0,"r_g",0.6634,0,2005-03-30,2030-03-31,"Non-IO",1,1,126,174,25,1,0,9,0,0,0,1,0,"NA","NA",0,-496,0,82256,"504",0.5132,40768,6,7,0,1
"26",5705263,2005,551.16,95579.7,"561","0","0","0","0","0","0","0","0",0,"r_e",0.276,0,2005-06-20,2040-06-30,"Non-IO",1,1,123,297,35,1,0,9,0,0,0,1,0,"NA","NA",0,-2658,0,96420,"560",0.3757,72084,6,13,0,1
"27",5130189,2002,179.2,13311.42,"361","0","0","0","0","0","0","0","0",0,"r_m",0.1167,0,2002-12-19,2027-12-31,"Non-IO",1,1,153,147,25,1,0,9,0,0,0,1,0,"NA","NA",0,-6206,0,14178,"362",0.6253,94446,6,10,0,1
"28",7172370,2005,771.56,172139.71,"514","0","0","0","0","0","0","0","0",0,"r_b",0.8239,0,2005-08-10,2040-08-31,"Non-IO",1,1,121,299,35,1,0,9,0,0,0,1,0,"NA","NA",0,0,0,172562,"518",0.5079,62250,4,4,0,1
"29",2451709,2006,445.4,79204.01,"473","0","0","0","0","0","0","0","0",1,"r_c",0.8025,0,2006-07-18,2041-07-31,"Non-IO",1,1,110,310,35,1,0,9,0,0,0,1,0,"NA","NA",0,-770,0,79658,"468",0.4512,79296,10,3,0,1
"30",4564543,2006,1056.22,154142.51,"356","1","65","0","0","0","1","0","65",0,"r_c",1.0211,0,2006-12-18,2033-12-31,"Non-IO",1,1,105,219,27,1,0,9,0,0,0,1,0,"NA","NA",0,-230,0,155668,"348",0.5989,43677,6,7,0,1
"31",7501286,2003,651.7,71529.58,"334","1","51","1","51","0","0","1","0",0,"r_c",0.4295,0.1298,2003-06-25,2027-06-30,"Non-IO",2,1,147,141,24,1,0,9,0,0,0,1,0.897,"NA","NA",0,-268,0,72304,"356",0.9229,38600,3,4,0,1
"32",7809718,2005,146.13,36685.73,"343","0","0","0","0","0","0","0","0",1,"r_g",0.97,0,2005-07-04,2030-07-31,"IO",1,1,122,178,25,1,0,9,0,0,0,1,0,"NA","NA",0,-30,0,36684,"446",0.2242,77889,5,14,0,1
